ColorCollectionID,ColorID,ColorName,ColorNumber1,ColorNumber2,ColorType,Counter
1157,251302,"0711-R51B",,,0,31079
1157,110919,"0711-R80B",,,0,31080
1157,110920,"0720-R90B",,,0,31081
1157,110921,"0731-R91B",,,0,31082
1157,110922,"0731-Y11R",,,0,31083
1157,110923,"0748-R09B",,,0,31084
1157,110924,"0763-G10Y",,,0,31085
1157,110925,"0763-Y03R",,,0,31086
1157,110926,"0766-Y58R",,,0,31087
1157,110927,"0770-G91Y",,,0,31088
1157,110928,"0807-G86Y",,,0,31089
1157,110929,"0811-R69B",,,0,31090
1157,110930,"0817-B96G",,,0,31091
1157,110931,"0818-R86B",,,0,31092
1157,110932,"0819-R62B",,,0,31093
1157,110933,"0821-R53B",,,0,31094
1157,110934,"0821-Y08R",,,0,31095
1157,110935,"0826-R54B",,,0,31096
1157,110936,"0838-R92B",,,0,31097
2783,403286,"247","REGNBÅGSBLÅ",,0,31098
2783,403291,"255","REGNSKUGGA",,0,31099
2783,403264,"212","RENFANA",,0,31100
2783,403254,"201","RENLAV",,0,31101
2783,403272,"223","ROSENBLAD",,0,31102
2783,403308,"280","ROSMARIN",,0,31103
2783,403262,"210","SANDSTEN",,0,31104
2783,403265,"213","SENSOMMAR",,0,31105
2783,403302,"271","SILVERPIL",,0,31106
2783,403285,"246","SKUGGVIOL",,0,31107
2783,403263,"211","SOLSKEN",,0,31108
2783,403307,"278","SOMMARÄNG",,0,31109
2783,403301,"269","STRANDKÅL",,0,31110
2783,403271,"222","TAGGSVAMP",,0,31111
2783,403312,"285","TALLKOTTE",,0,31112
2783,403290,"254","VATTENFALL",,0,31113
2783,403261,"208","VINTERGATA",,0,31114
2783,403309,"281","VITMOSSA",,0,31115
2784,250224,"2001",,,0,31120
2784,250121,"2002",,,0,31121
2784,13434,"2003",,,0,31122
2784,250241,"2004",,,0,31123
2784,13155,"2005",,,0,31124
2784,250205,"2006",,,0,31125
2784,250260,"160","BEIGE",,0,31130
2784,250360,"280","MELLANBLÅ",,0,31131
2785,41698,"808","AFTONRÖD",,0,31139
2785,42403,"809","ALLMOGEBLÅ",,0,31140
2785,43030,"520","ANTRACITGRÅ",,0,31141
2785,42280,"820","ÅSKBLÅ",,0,31142
2785,41596,"819","BARKBRUN",,0,31143
2785,41529,"800","BENVIT",,0,31144
2785,235365,"410","CYPRESSGRÖN",,0,31145
2785,41389,"513","GRÅ",,0,31146
2785,41387,"811","GRANITGRÅ",,0,31147
2785,42747,"817","GRYNINGSGRÖN",,0,31148
2785,41601,"807","HÖSTGUL",,0,31149
2785,236863,"270","KORNBLÅ",,0,31150
2785,41442,"818","LAVGUL",,0,31151
2785,42360,"803","LJUSBLÅ",,0,31152
2785,41640,"802","LJUSBRUN",,0,31153
2785,42798,"804","LJUSGRÖN",,0,31154
2785,41494,"801","LJUSGUL",,0,31155
2785,42710,"810","LÖVGRÖN",,0,31156
2785,42456,"821","MORGONBLÅ",,0,31157
2785,42895,"822","MOSSGRÖN",,0,31158
2785,41594,"813","OXIDGUL",,0,31159
2785,233829,"110","SANDBEIGE",,0,31160
2785,41531,"812","SANDGRÅ",,0,31161
2785,41386,"805","SKYGRÅ",,0,31162
2785,42393,"815","STÅLBLÅ",,0,31163
2785,41428,"806","STÅLGRÅ",,0,31164
2785,42806,"816","VÅRGRÖN",,0,31165
2785,41858,"814","VARMRÖD",,0,31166
2786,403329,"3058",,,0,31167
2787,403382,"127",,,0,31217
2299,41585,"S 2010-Y30R",,,0,31226
2299,41636,"S 2010-Y40R",,,0,31227
2299,41586,"S 3010-Y30R",,,0,31228
2299,41641,"S 3020-Y40R",,,0,31229
2299,41587,"S 4010-Y30R",,,0,31230
2299,41642,"S 4020-Y40R",,,0,31231
2299,41682,"S 5005-Y50R",,,0,31232
2299,41589,"S 6010-Y30R",,,0,31233
2299,41701,"S 6020-Y50R",,,0,31234
2299,41684,"S 7005-Y50R",,,0,31235
2299,41854,"S 7020-Y80R",,,0,31236
2299,41792,"S 8010-Y70R",,,0,31237
2300,41366,"S 0500-N",,,0,31238
2300,41384,"S 0502-Y",,,0,31239
2300,41367,"S 1000-N",,,0,31240
2300,41385,"S 1002-Y",,,0,31241
2300,41395,"S 1002-Y50R",,,0,31242
2300,41368,"S 1500-N",,,0,31243
2300,41386,"S 1502-Y",,,0,31244
2300,41396,"S 1502-Y50R",,,0,31245
2300,41369,"S 2000-N",,,0,31246
2300,119093,"S 2002-B",,,0,31247
2300,119099,"S 2002-Y",,,0,31248
2300,119100,"S 2002-Y50R",,,0,31249
2300,41370,"S 2500-N",,,0,31250
2300,41413,"S 2502-B",,,0,31251
2300,41387,"S 2502-Y",,,0,31252
2300,41372,"S 3500-N",,,0,31253
2300,41414,"S 3502-B",,,0,31254
2300,41388,"S 3502-Y",,,0,31255
2300,41374,"S 4500-N",,,0,31256
2300,41415,"S 4502-B",,,0,31257
2300,41389,"S 4502-Y",,,0,31258
2300,41376,"S 5500-N",,,0,31259
2300,41416,"S 5502-B",,,0,31260
2300,41390,"S 5502-Y",,,0,31261
2300,41378,"S 6500-N",,,0,31262
2300,41417,"S 6502-B",,,0,31263
2300,41391,"S 6502-Y",,,0,31264
2304,402613,"Äggskal",,,0,31265
2304,319054,"Anemon",,,0,31266
2304,319055,"Anis",,,0,31267
2304,402580,"Asfalt",,,0,31268
2304,319057,"Aubergine",,,0,31269
2304,402526,"Barbie",,,0,31270
2304,319059,"Barlett",,,0,31271
2304,236051,"Betong",,,0,31272
2304,402547,"Björnbär",,,0,31273
2304,402581,"Blåbär",,,0,31274
2304,402548,"Bombay",,,0,31275
